ticker,industry_code,is_financial,is_reit,company_name
004690,35200,0,0,삼천리
004700,15110,0,0,조광피혁
004710,26299,0,0,한솔테크닉스
004720,212,0,0,팜젠사이언스
004770,262,0,0,써니전자
004780,25991,0,0,대륙제관
004800,649,0,0,효성
004830,22214,0,0,덕성
004840,221,0,0,DRB동일
004870,23325,0,0,티웨이홀딩스
004890,24113,0,0,동일산업
004910,20411,0,0,조광페인트
004920,26529,0,0,씨아이테크
004960,41112,0,0,한신공영
004970,03111,0,0,신라교역
004980,23311,0,0,성신양회
004990,64992,0,0,롯데지주
005010,2413,0,0,휴스틸
005030,30310,0,0,부산주공
005070,204,0,0,코스모신소재
005090,351,0,0,SGC에너지
005110,465,0,0,한창
005160,24122,0,0,동국산업
005180,104,0,0,빙그레
005250,715,0,0,녹십자홀딩스
005290,20129,0,0,동진쎄미켐
005300,11209,0,0,롯데칠성음료
005320,46413,0,0,온타이드
005360,46452,0,0,모나미
005380,30121,0,0,현대자동차
005420,2049,0,0,코스모화학
005430,52939,0,0,한국공항
005440,64992,0,0,현대지에프홀딩스
005490,2411,0,0,POSCO홀딩스
005500,212,0,0,삼진제약
005610,108,0,0,삼립
005670,1030,0,0,푸드웰
005680,26291,0,0,삼영전자공업
005690,262,0,0,파미셀
005710,303,0,0,대원산업
005720,221,0,0,넥센
005740,64992,0,0,크라운해태홀딩스
005750,23222,0,0,대림바스
005800,14120,0,0,신영와코루
005810,64992,0,0,풍산홀딩스
005820,13225,0,0,원림
005830,65121,1,0,DB손해보험
005850,303,0,0,에스엘
005860,109,0,0,한일사료
005870,2642,0,0,휴니드테크놀러지스
005880,50112,0,0,대한해운
005930,264,0,0,삼성전자
005940,66121,1,0,NH투자증권
005950,20111,0,0,이수화학
005960,412,0,0,동부건설
005990,104,0,0,매일홀딩스
006040,64992,0,0,동원산업
006050,231,0,0,국영지앤엠
006060,46800,0,0,화승인더스트리
006090,102,0,0,사조오양
006110,24222,0,0,삼아알미늄
006120,64992,0,0,SK디스커버리
006140,27112,0,0,피제이전자
006200,64992,0,0,한국전자홀딩스
006220,64121,1,0,제주은행
006260,64992,0,0,LS
006280,212,0,0,녹십자
006340,28302,0,0,대원전선
006360,4111,0,0,GS건설
006370,47111,0,0,대구백화점
006380,20119,0,0,카프로
006400,28202,0,0,삼성SDI
006490,612,0,0,프리티
006570,25993,0,0,대림통상
006620,212,0,0,동구바이오제약
006650,20111,0,0,대한유화
006660,30399,0,0,삼성공조
006730,551,0,0,서부T&D
006740,172,0,0,블루산업개발
006800,66121,1,0,미래에셋증권
006840,64992,0,0,AK홀딩스
006880,46201,0,0,신송홀딩스
006890,20121,0,0,태경케미컬
006910,2511,0,0,보성파워텍
006920,23322,0,0,모헨즈
006980,105,0,0,우성
007070,47122,0,0,GS리테일
007110,466,0,0,일신석재
007120,620,0,0,미래아이앤지
007160,102,0,0,사조산업
007210,23999,0,0,벽산
007280,24121,0,0,한국특강
007310,108,0,0,오뚜기
007330,64132,1,0,푸른저축은행
007340,28202,0,0,DN오토모티브
007370,212,0,0,진양제약
007390,211,0,0,네이처셀
007460,212,0,0,에이프로젠
007530,259,0,0,와이엠
007540,64992,0,0,샘표
007570,212,0,0,일양약품
007590,2032,0,0,동방아그로
007610,28123,0,0,선도전기
007660,2622,0,0,이수페타시스
007680,41112,0,0,대원
007690,20111,0,0,국도화학
007700,64992,0,0,F&F 홀딩스
007720,468,0,0,소노스퀘어
007770,201,0,0,한일화학
007810,2622,0,0,코리아써키트
007820,29169,0,0,엠엑스로보틱스
007860,64992,0,0,서연
007980,141,0,0,TP
008040,105,0,0,사조동아원
008060,64992,0,0,대덕
008250,16211,0,0,이건산업
008260,2419,0,0,NI스틸
008290,14111,0,0,원풍물산
008350,24222,0,0,남선알미늄
008370,22212,0,0,원풍
008420,2419,0,0,문배철강
008470,25130,0,0,부스타
008490,2049,0,0,서흥
008600,46413,0,0,윌비스
008700,265,0,0,아남전자
008730,22231,0,0,율촌화학
008770,47859,0,0,호텔신라
008830,292,0,0,대동기어
008870,23192,0,0,금비
008930,64992,0,0,한미사이언스
008970,2413,0,0,KBI동양철관
009070,49301,0,0,케이씨티시
009140,2629,0,0,경인전자
009150,2622,0,0,삼성전기
009160,24113,0,0,SIMPAC
009180,5299,0,0,한솔로지스틱스
009190,24122,0,0,대양금속
009200,171,0,0,무림페이퍼
009240,46431,0,0,한샘
009270,14112,0,0,신원
009290,21220,0,0,광동제약
009300,212,0,0,삼아제약
009310,29271,0,0,참엔지니어링
009320,303,0,0,아진전자부품
009410,41221,0,0,태영건설
009420,212,0,0,한올바이오파마
009440,64992,0,0,KC그린홀딩스
009450,28520,0,0,경동나비엔
009460,171,0,0,한창제지
009470,26291,0,0,삼화전기
009520,24199,0,0,포스코엠텍
009540,64992,0,0,HD한국조선해양
009580,171,0,0,무림P&P
009620,24222,0,0,삼보산업
009680,303,0,0,모토닉
009730,2413,0,0,이렘
009770,171,0,0,삼정펄프
009780,108,0,0,엠에스씨
009810,467,0,0,플레이그램
009830,20111,0,0,한화솔루션
009900,303,0,0,명신산업
009970,64992,0,0,영원무역홀딩스
010040,2321,0,0,한국내화
010060,64992,0,0,OCI홀딩스
010100,303,0,0,한국무브넥스
010120,28121,0,0,엘에스일렉트릭
010130,24213,0,0,고려아연
010140,3111,0,0,삼성중공업
010170,283,0,0,대한광통신
010240,29241,0,0,흥국
010280,62021,0,0,아이티센엔텍
010400,422,0,0,우진아이엔에스
010470,71310,0,0,오리콤
010580,303,0,0,에스엠벡셀
010640,22259,0,0,진양폴리우레탄
010660,29223,0,0,화천기계
010690,30391,0,0,화신
010770,303,0,0,평화홀딩스
010780,2332,0,0,아이에스동서
010820,252,0,0,퍼스텍
010950,19210,0,0,S-Oil
010960,421,0,0,삼호개발
011000,212,0,0,진원생명과학
011040,212,0,0,경동제약
011070,262,0,0,LG이노텍
011080,1419,0,0,형지I&C
011090,32021,0,0,에넥스
011150,108,0,0,CJ씨푸드
011170,20111,0,0,롯데케미칼
011200,50112,0,0,HMM
011210,303,0,0,현대위아
011230,265,0,0,삼화전자공업
