ksic_code,sector_id,ko
58190,it,플랫폼
582,it,플랫폼
5821,it,플랫폼
58211,it,플랫폼
58212,it,플랫폼
58219,it,플랫폼
5822,it,플랫폼
58221,it,플랫폼
58222,it,플랫폼
591,media,미디어
59111,media,미디어
59112,media,미디어
59113,media,미디어
59114,media,미디어
59120,media,미디어
59130,media,미디어
59141,media,미디어
592,media,미디어
59201,media,미디어
602,media,미디어
60210,media,미디어
60221,media,미디어
60222,media,미디어
60229,media,미디어
603,media,미디어
612,tele,통신
61220,tele,통신
61299,tele,통신
620,it,플랫폼
6201,it,플랫폼
62010,it,플랫폼
6202,it,플랫폼
62021,it,플랫폼
62090,it,플랫폼
631,it,플랫폼
63112,it,플랫폼
63120,it,플랫폼
639,it,플랫폼
63991,it,플랫폼
64121,fin,금융
64132,fin,금융
642,fin,금융
64201,fin,금융
64209,fin,금융
649,fin,금융
6491,fin,금융
64911,fin,금융
64913,fin,금융
64919,fin,금융
64991,fin,금융
64992,fin,금융
64999,fin,금융
65110,fin,금융
65121,fin,금융
65122,fin,금융
65200,fin,금융
661,fin,금융
66121,fin,금융
6619,fin,금융
66191,fin,금융
66199,fin,금융
66202,fin,금융
681,realestate,부동산
6811,realestate,부동산
68112,realestate,부동산
6812,realestate,부동산
68121,realestate,부동산
68122,realestate,부동산
701,holding,지주
7011,holding,지주
70111,holding,지주
70113,holding,지주
70129,holding,지주
70130,holding,지주
713,machinery,기계·장비
71310,machinery,기계·장비
71400,machinery,기계·장비
715,machinery,기계·장비
71531,machinery,기계·장비
716,machinery,기계·장비
71600,machinery,기계·장비
721,pharma,제약바이오
72111,pharma,제약바이오
7212,pharma,제약바이오
72121,pharma,제약바이오
72129,pharma,제약바이오
729,pharma,제약바이오
7291,pharma,제약바이오
72911,pharma,제약바이오
732,prof_svc,전문서비스
73203,prof_svc,전문서비스
739,prof_svc,전문서비스
7390,prof_svc,전문서비스
73909,prof_svc,전문서비스
741,prof_svc,전문서비스
752,leisure,레저·교육
75210,leisure,레저·교육
75320,leisure,레저·교육
759,leisure,레저·교육
75992,leisure,레저·교육
75993,leisure,레저·교육
76110,leisure,레저·교육
762,leisure,레저·교육
76320,leisure,레저·교육
851,leisure,레저·교육
85120,leisure,레저·교육
855,leisure,레저·교육
8550,leisure,레저·교육
85503,leisure,레저·교육
85650,leisure,레저·교육
85669,leisure,레저·교육
857,leisure,레저·교육
901,leisure,레저·교육
90199,leisure,레저·교육
911,leisure,레저·교육
91121,leisure,레저·교육
91249,leisure,레저·교육
953,etc,기타
969,etc,기타
